x,class,fold
empirical and theoretical models of earnings and employment,economics,train
borehole temperatures and climate chance-observatory mode,geophysics,train
fundamental control problems in wireless communication networks,networking,train
optical burst switching - a new paradigm,networking,train
molecular analysis of morphologically defined taxa in the montastraea annularis complex,oceanography,train
perceptrons play repeated games new approach to bounded rationality,economics,train
investigation of sulfate hydrogeochemistry in marine confining units in the new jersey coastal plain,hydro,train
characterizing and testing the implications of dynamic models in economics and finance,economics,train
"a keystone species approach to determining post-fire successional influence on cavity user communities in the black hills, south dakota",ecology,train
multimedia analysis and retrieval system,data,train
"summer institute on game theory and economics for 1996-1998 at stony brook, new york",economics,train
saddlepoint and bootstrap methods in systems theory and survival analysis,statistics,train
macroscopic properties of heterogeneous media and development of the applied mathematics curriculum,math,train
"the process of entry, exit and transfer in the small- business sector",economics,train
resolving fault-plane ambiguity for small earthquakes using broadband seismic data,geophysics,train
dynamical systems approach to flow and transport in heterogeneous aquifers,hydro,train
gender-related trends in educational expectations,sociology,train
integrated geophysical and hydrogeologic study of a large maine peatland,hydro,train
a formal architecture-based approach to software integrationtesting,software,train
welfare policy in the american states,politic,train
initiation award dynamic program slicing,software,train
"time varying risk, peso problem and asset pricing",economics,train
object clustering heuristics and algorithms in next generation database management systems,data,train
discovering software process measures using genetic programming,software,train
"patterns, scale, and hydrology in a semi-arid catchment",hydro,train
a seismic study of subducted lithosphere,geophysics,train
"social networks, financial markets, and household organization in a developing economy",economics,train
workshop identifying key processes and control points in rhizosphere ecosystems from molecules to ecosystems,ecology,train
preconditioned interative methods for large linear systems,math,train
mathematical sciences time series models and extreme value theory,statistics,train
high pressure melting of the earth's core material,geophysics,train
semiparametric and nonparametric inferences,statistics,train
"experimental into the role of information, context, and emotion in voter reasoning",politic,train
using cave technology to explore high-dimensional data,statistics,train
congestion avoidance in high-speed atm networks,networking,train
"workshop on formal foundations of software systems rio de janeiro, brazil, may 5-9, 1997",software,train
consistent answers to sql queries,data,train
mathematical sciences hydrodynamic interface motion,math,train
"political science bargaining, uncertainty and the shadow of the future in north atlantic fisheries",politic,train
"data structures for sorting, searching, hashing, computational geometry and nonprocedural databases",theory,train
autonomous time series measurement of 14c primary production on the bermuda test bed mooring,oceanography,train
geodetic measurements of indo-asian plate convergence,geophysics,train
constructing and manipulating presentations in multmedia databases,data,train
