label-coarse,label-fine,text
3,4,b'Who was Camp David named for ?'
0,7,b'What is the C programming language ?'
5,14,b'Where is the oldest living thing on earth ?'
4,13,b'How many claws has a lobster called a pistol lost ?'
3,4,"b""What son of a 15-year-old Mexican girl and a half-Irish father became the world 's most famous Greek ?"""
3,4,b'What American won the world Grand Prix driving championship in 1978 ?'
3,4,b'Who killed JFK ?'
0,0,b'How do you get a pointsettia to turn red ?'
5,14,b'What was the tallest building in America in 1922 ?'
3,5,"b""Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?"""
1,14,"b""What is November 's birthstone ?"""
1,23,b'What is a fear of reptiles ?'
0,0,b'How can someone become a federal agent ?'
3,4,"b""Name Dick Tracy 's two children ."""
5,21,"b""What Russian seaport has a name meaning `` Lord of the East '' ?"""
5,18,b'What two countries are separated by the Bering Strait ?'
2,34,b'What is the abbreviation of the International Olympic Committee ?'
4,13,b'How many equal angles are there in an isosceles triangle ?'
4,35,b'How fast is a 45Mhz processor ?'
5,14,b'Where is Mozambique located ?'
4,14,b'What is the average hourly rate of American workers ?'
0,0,b'How can I find out what year a Beanie Baby was introduced ?'
4,14,b'What is the size of the student body at the University of Massachusetts in Amherst ?'
3,4,"b""Whose old London come-on was : `` Buy my sweet lavender '' ?"""
1,23,b'What is a fear of fish ?'
4,14,b'What number of American soldiers remain unaccounted from the Vietnam war ?'
3,4,"b""What President once told Gene Autry : `` Please give my regards to your wife Dale '' ?"""
0,7,b'What is Head Start ?'
3,4,"b'What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?'"
1,26,"b""What product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?"""
5,14,b'What constellation is known as The Water Bearer ?'
0,7,b'What is a firewall ?'
0,7,b'What does hazmat stand for ?'
0,7,"b""What does `` E Pluribus Unum '' on the penny mean ?"""
5,14,b'What famed strip of land is a 15-minute boat trip across the Venetian Lagoon from Venice ?'
3,4,b'Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?'
0,7,b'What is a Jake brake ?'
1,10,b'What age followed the Bronze Age ?'
1,14,b'What does a heliologist study ?'
1,1,b'What Judith Rossner novel was made into a film starring Diane Keaton ?'
5,18,b'What two European countries entered the War of American Independence against the British ?'
1,36,b'What is the plural of gulf ?'
5,18,b'What two European countries are joined by the Gran San Bernardo Pass ?'
2,3,b'What does NASDAQ stand for ?'
1,31,"b'What are the 7 principles of learning from the Institute for Research on Learning , IRL ?'"
1,14,b'What is the organizational structure of the New Delhi Indira Gandhi airport ?'
0,7,b'What does Inuit and Eskimo mean ?'
0,7,b'What is the HIGHEST Roman numeral ?'
1,14,b'What type of bridge is the Golden Gate Bridge ?'
3,5,"b""What is the name of the company that manufactures the `` American Girl '' doll collection ?"""
5,14,b'Where did bocci originate ?'
0,0,b'How do anti-locking brakes work ?'
3,4,"b""What are Arnold Palmer 's fans called ?"""
1,28,b'What materials did the three little pigs use to build their houses ?'
3,4,b'Who co-starred with Julie Andrews in Mary Poppins ?'
5,14,b'What ocean is the largest in the world ?'
1,10,b'What famous events have happened on March 27 ?'
2,3,b'What does NECROSIS mean ?'
3,4,b'President Bush compared Saddam Hussein to whom ?'
0,12,b'What is the difference between a median and a mean ?'
1,28,b'What are super balls made of ?'
5,21,"b""In what city is the famed St. Mark 's Square ?"""
4,13,b'How many words are there in the Spanish language ?'
1,1,"b""What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?"""
4,40,b'How far is it from Phoenix to Blythe ?'
0,9,b'Why did David Koresh ask the FBI for a word processor ?'
5,14,b'What does the River Seine empty into ?'
0,7,b'What is paracetamol ?'
0,7,b'What is the contents of proposition 98 ?'
1,31,b'What is the quickest and easiest way to get nail polish out of clothes ?'
4,8,b'When did the American Civil War end ?'
4,13,b'How many children does Ray Davies of the Kinks have ?'
4,38,"b""What fraction of a beaver 's life is spent swimming ?"""
1,2,b'What is the West Virginia state animal ?'
4,25,b'What is the exchange rate for Australian to American money ?'
0,7,b'What is a First World country ?'
5,14,b'Where is the Bulls basketball team based ?'
0,12,b'What is the origin of gametophytic tissue ?'
5,18,b'In what country is a stuck-out tongue a friendly greeting ?'
1,23,b'What is a fear of being dirty ?'
1,14,b'Which side of the face do most artists tend to show more of in self-portraits ?'
4,38,"b""What fraction of a beaver 's life is spent swimming ?"""
0,0,b'How do I get my LAN card activated so that it can hook up to another computer without using a HUB ?'
1,2,b'What rabbit got its name because its ears resembled those of a jackass ?'
1,2,b'What relative of the racoon is sometimes known as the cat-bear ?'
1,2,b'What are the snakes of New England ?'
1,14,"b""What format was VHS 's main competition ?"""
4,32,b'How big is the Chappellet vineyard ?'
5,14,b'Where did Dikembe Mutombo go to college ?'
5,14,b'In what county is Eckley Colorado ?'
4,13,b'How many innings constitute an official baseball game ?'
4,8,b'When was the Bill of Rights ratified ?'
1,17,b'What line of candy products included Super Skrunch and Peanut Butter Oompas ?'
3,4,b'What future President became Senate majority whip under Harry Truman ?'
1,2,b'What animal causes the biggest threat to humans ?'
0,12,"b""What are the words to the cd Eminem 's , or slim shady , `` My Name Is '' ?"""
4,8,"b""What date is Richard Nixon 's birthday ?"""
4,27,b'What is the life span of the average monkey ?'
3,4,"b""What 's comic strip photographer Peter Parker 's secret identity ?"""
0,12,b'What are the distinct physical characterstics of the Arabian horse ?'
0,7,b'What does the word terrorism mean ?'
3,4,b'Who won the 1967 Academy Award for Best Actor ?'
5,14,"b'What river flows through Vienna , Budapest and Belgrade ?'"
3,4,b'What Catch-22 character is elected mayor of half a dozen Italian cities ?'
1,17,"b""What is Nero Wolfe 's favorite drink during office hours ?"""
3,4,"b""Name one of King Henry VIII 's wives ."""
5,14,b'Where is the Kentucky Horse Park ?'
1,26,b'What computer operating system is on the most computers ?'
1,14,b'What did Abolitionists try to end ?'
1,17,b'What do flatfish eat ?'
0,7,b'What is time ?'
0,12,"b""What 's the state motto of California ?"""
4,13,"b'How many casinos are in Atlantic City , NJ ?'"
4,8,b'When were fish first believed to be found on earth ?'
1,29,b'What field sport did dentist William Beers promote and write a standard book of rules for ?'
