text,index,subset,tlabel
"'moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '",0,train,1
idiotic and ugly . ,1,train,1
"even if the naipaul original remains the real masterpiece , the movie possesses its own languorous charm . ",2,train,1
"the movie is amateurish , but it's a minor treat . ",3,train,1
"some people march to the beat of a different drum , and if you ever wondered what kind of houses those people live in , this documentary takes a look at 5 alternative housing options . ",4,train,1
the movie plays up the cartoon's more obvious strength of snazziness while neglecting its less conspicuous writing strength . ,5,train,1
"apesar de seus graves problemas , o filme consegue entreter . ",6,train,1
superb production values & christian bale's charisma make up for a derivative plot . ,7,train,1
kiarostami has crafted a deceptively casual ode to children and managed to convey a tiny sense of hope . ,8,train,1
"an engrossing story that combines psychological drama , sociological reflection , and high-octane thriller . ",9,train,1
"like its predecessor , it's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate . ",10,train,1
ranks among willams' best screen work . ,11,train,1
"it's a drawling , slobbering , lovable run-on sentence of a film , a southern gothic with the emotional arc of its raw blues soundtrack . ",12,train,1
"even if you don't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be reminded of who did what to whom and why . ",13,train,1
"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins . ",14,train,1
"this new zealand coming-of-age movie isn't really about anything . when it's this rich and luscious , who cares ? ",15,train,1
the all-french cast is marveilleux . ,16,train,1
"it's [ricci's] best work yet , this girl-woman who sincerely believes she can thwart the world's misery with blind good will . ",17,train,1
harmless fun . ,18,train,1
the fast runner' transports the viewer into an unusual space,19,train,1
"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie's various victimized audience members after a while , but it also happens to be the movie's most admirable quality",20,train,1
a very funny movie . ,21,train,1
imagine a scenario where bergman approaches swedish fatalism using gary larson's far side humor,22,train,1
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . ",23,train,1
"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers . ",24,train,1
"a vivid , sometimes surreal , glimpse into the mysteries of human behavior . ",25,train,1
the film is a verbal duel between two gifted performers . ,26,train,1
it's a very valuable film . . . ,27,train,1
"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . ",28,train,1
i love the way that it took chances and really asks you to take these great leaps of faith and pays off . ,29,train,1
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length . ",30,train,1
"expect no major discoveries , nor any stylish sizzle , but the film sits with square conviction and touching good sense on the experience of its women . ",31,train,1
"while not all transitions to adulthood are so fraught , there's much truth and no small amount of poetry in girls can't swim . ",32,train,1
"funny , sexy , devastating and incurably romantic . ",33,train,1
that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications . ,34,train,1
"a highly personal look at the effects of living a dysfunctionally privileged lifestyle , and by the end , we only wish we could have spent more time in its world . ",35,train,1
absorbing character study by andré turpin . ,36,train,1
"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . ",37,train,1
"world traveler might not go anywhere new , or arrive anyplace special , but it's certainly an honest attempt to get at something . ",38,train,1
"a pleasing , often-funny comedy . ",39,train,1
"what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates . ",40,train,1
"a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger . should be required viewing for civics classes and would-be public servants alike . ",41,train,1
it's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . you don't want to call the cops . you want to call domino's . ,42,train,1
contrasting the original ringu with the current americanized adaptation is akin to comparing the evil dead with evil dead ii,43,train,1
"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart . ",44,train,1
a film of precious increments artfully camouflaged as everyday activities . ,45,train,1
"greene delivers a typically solid performance in a role that is a bit of a departure from the noble characters he has played in the past , and he is matched by schweig , who carries the film on his broad , handsome shoulders . ",46,train,1
"the film is a fierce dance of destruction . its flame-like , roiling black-and-white inspires trembling and gratitude . ",47,train,1
"a wonderful , ghastly film . ",48,train,1
